intervention_id,plant,line,equipment_tag,reported_at,technician_id,alert_code,raw_text
INT-2026-0101,Plant A,Hot Rolling 1,HRM-01,2026-01-03T06:42:00,T-114,ALM-2201,"hyd leak on the main cyl again, 3rd time this qtr. found the seal on rod side blown. replced seal kit + topped up oil. down abt 95 min. RECOMEND we change the whole cyl at next shutdwn, seals keep going becuse rod is scored"
INT-2026-0102,Plant A,Hot Rolling 1,HRM-01,2026-01-04T14:10:00,T-207,ALM-1130,"roll gap sensor readin garbage. swapped the LVDT, recalibrated. 40min. sensor was full of scale dust, the cover gasket is missing - somebody lost it"
INT-2026-0103,Plant A,Sinter 2,SNT-04,2026-01-05T22:30:00,T-089,ALM-3305,"conveyour belt tracking off to the drive side, rubbing frame. adjusted the snub pulley. ~55min. belt edge already damaged maybe 8m of it. needs vulcanizing next window"
INT-2026-0104,Plant B,Blast Furnace,BF-02,2026-01-06T03:15:00,T-311,ALM-4102,"cooling water flow low alarm on stave 14. strainer blocked w/ debris. cleaned + back in service 70 min. this is the 2nd stave strainer this week, i think somethng is shedding upstream in the header"
INT-2026-0105,Plant A,Hot Rolling 1,HRM-02,2026-01-08T11:05:00,T-114,ALM-2210,"main drive motor tripped on overcurrent. checked meggar OK. found the cooling fan on the drive cabinet siezed so VFD was overtemp and derating. replaced fan 60min, run up fine"
INT-2026-0106,Plant A,Cold Mill,CM-01,2026-01-09T08:20:00,T-207,ALM-2201,"hydralic pwr unit pressure droppin. pump 2 not making pressure, couplin elastomer shredded. swapped coupling element. 50 mins. NB pump 2 has done 3 couplings in 6 months - alignment check needed, i think base plate is soft"
INT-2026-0107,Plant B,Blast Furnace,BF-02,2026-01-11T19:45:00,T-311,ALM-4110,"thermocouple on tuyere 8 open circuit. replaced TC + extension cable. 35 min"
INT-2026-0108,Plant A,Sinter 2,SNT-04,2026-01-12T05:50:00,T-089,ALM-3312,"gearbox on the sinter fan runnin hot, 92c on the brg. oil level was low, topped up. also found breather cap clogged. 45min. reccomend oil analysis, there was a bit of metal on the mag plug"
INT-2026-0109,Plant A,Hot Rolling 1,HRM-01,2026-01-14T13:00:00,T-114,ALM-2201,"same hyd leak main cyl HRM-01. rod side seal. did seal kit again. 85min. as i said before the rod is scored, this will keep repeating until cyl is changed. escalated to eng"
INT-2026-0110,Plant C,Continuous Caster,CC-01,2026-01-15T02:10:00,T-402,ALM-5201,"mould oscillator vibration high. found loose foundation bolts, 4 of them. torqued to spec. 75 min. whole frame needs re-grouting imo"
INT-2026-0111,Plant A,Cold Mill,CM-02,2026-01-16T16:30:00,T-207,ALM-2260,"coilr tension out of range. load cell drifting. recalibrated, held for now but cell is old. 30min. suggest replace at outage"
INT-2026-0112,Plant B,Blast Furnace,BF-01,2026-01-18T09:25:00,T-311,ALM-4102,"cooling water low flow stave 6. strainer again full of rubber bits. cleaned. 65min. the rubber is coming from somewhere - expansion joint liner maybe. NEEDS investigatn, 3rd one this month"
INT-2026-0113,Plant A,Sinter 2,SNT-03,2026-01-19T23:00:00,T-089,ALM-3305,"belt slippin on the drive pulley, lagging worn smooth. couldnt fix properly, tensioned as temp fix. 40min. NOT RESOLVED - needs re-lagging, raised WO"
INT-2026-0114,Plant C,Continuous Caster,CC-02,2026-01-21T07:40:00,T-402,ALM-5240,"segment roll seized, bearing collapsed. changed the roll assy. 180min. big job. bearing had no grease - autolube line was crimped where it passes the frame"
INT-2026-0115,Plant A,Hot Rolling 1,HRM-02,2026-01-22T12:15:00,T-114,ALM-2210,"VFD fault F0023 undervoltage. supply side, found loose terminal on the incoming isolator. retorqued all. 55min"
INT-2026-0116,Plant A,Cold Mill,CM-01,2026-01-24T04:35:00,T-207,ALM-2201,"hyd oil temp high. cooler fouled on water side. flushed it. 60 min. water side treatment needs looking at, scale build up is fast"
INT-2026-0117,Plant B,Blast Furnace,BF-02,2026-01-26T15:20:00,T-311,ALM-4125,"stockline probe stuck, wont retract. mech binding in the guide, cleaned + lubed. 50min"
INT-2026-0118,Plant A,Sinter 2,SNT-04,2026-01-27T20:05:00,T-089,ALM-3312,"sinter fan gearbox brg temp high again 95c. oil analysis came back bad, water in oil. drained + refilled, changed breather. 110min. root cause is the cooler leaking into the oil side i think"
INT-2026-0119,Plant C,Continuous Caster,CC-01,2026-01-29T10:50:00,T-402,ALM-5201,"oscillator vibration again on CC-01. foundation bolts loose AGAIN. this is the grout, its cracked. torqued + logged. 70min. RECOMMEND full re-grout, will keep coming back"
INT-2026-0120,Plant A,Hot Rolling 1,HRM-03,2026-01-30T06:00:00,T-114,ALM-2230,"descaler nozzle blocked, 3 of them. rodded out + flushed hdr. 45min. filter on the descale pump needs shorter change interval"
